tau,f_bl,t0,u_min,chi2
55.778,1.0,424.3265370784995,0.09116762699668421,10.602573567728495
55.778,1.0,424.3265370784995,0.09175909531001507,10.240396878921953
55.778,1.0,424.3265370784995,0.09235056362334593,9.896212042963214
55.778,1.0,424.3265370784995,0.09294203193667677,9.569542947719357
55.778,1.0,424.3265370784995,0.09353350025000765,9.259927552972421
55.778,1.0,424.3265370784995,0.09412496856333849,8.966917405169633
55.778,1.0,424.3265370784995,0.09471643687666935,8.690077171479322
55.778,1.0,424.3265370784995,0.09530790519000021,8.4289841922808
55.778,1.0,424.3265370784995,0.09589937350333107,8.183228051260352
55.778,1.0,424.3265370784995,0.09649084181666193,7.952410162327168
55.778,1.0,424.3265370784995,0.09708231012999279,7.736143372602374
55.778,1.0,424.3265370784995,0.09767377844332364,7.534051580771324
55.778,1.0,424.3265370784995,0.0982652467566545,7.345769370124544
55.778,1.0,424.3265370784995,0.09885671506998536,7.17094165564568
55.778,1.0,424.3265370784995,0.09944818338331622,7.009223344536393
55.778,1.0,424.3265370784995,0.10003965169664708,6.860279009597545
55.778,1.0,424.3265370784995,0.10063112000997794,6.723782574914323
55.778,1.0,424.3265370784995,0.1012225883233088,6.5994170133193215
55.778,1.0,424.3265370784995,0.10181405663663964,6.486874055132898
55.778,1.0,424.3265370784995,0.1024055249499705,6.385853907703815
55.778,1.0,424.3265370784995,0.10299699326330136,6.29606498529587
55.778,1.0,424.3265370784995,0.10358846157663222,6.217223648887468
55.778,1.0,424.3265370784995,0.10417992988996308,6.149053955471479
55.778,1.0,424.3265370784995,0.10477139820329394,6.091287416461904
55.778,1.0,424.3265370784995,0.1053628665166248,6.043662764832043
55.778,1.0,424.3265370784995,0.10595433482995566,6.005925730626301
55.778,1.0,424.3265370784995,0.10654580314328652,5.977828824504004
55.778,1.0,424.3265370784995,0.10713727145661738,5.959131128989337
55.778,1.0,424.3265370784995,0.10772873976994823,5.949598097116232
55.778,1.0,424.3265370784995,0.1083202080832791,5.949001358171087
55.778,1.0,424.3265370784995,0.10891167639660995,5.957118530249594
55.778,1.0,424.3265370784995,0.10950314470994081,5.973733039356594
55.778,1.0,424.3265370784995,0.11009461302327167,5.99863394478997
55.778,1.0,424.3265370784995,0.11068608133660252,6.031615770561068
55.778,1.0,424.3265370784995,0.11127754964993337,6.072478342614962
55.778,1.0,424.3265370784995,0.11186901796326423,6.121026631624389
55.778,1.0,424.3265370784995,0.11246048627659509,6.1770706011409064
55.778,1.0,424.3265370784995,0.11305195458992595,6.2404250608963485
55.778,1.0,424.3265370784995,0.11364342290325681,6.310909525056506
55.778,1.0,424.3265370784995,0.11423489121658767,6.388348075237505
55.778,1.0,424.3265370784995,0.11482635952991853,6.472569228103528
55.778,1.0,424.3265370784995,0.11541782784324939,6.56340580737212
55.778,1.0,424.3265370784995,0.11600929615658025,6.660694820060826
55.778,1.0,424.3265370784995,0.1166007644699111,6.7642773368158435
55.778,1.0,424.3265370784995,0.11719223278324196,6.873998376170056
55.778,1.0,424.3265370784995,0.11778370109657282,6.989706792584278
55.778,1.0,424.3265370784995,0.11837516940990367,7.111255168131513
55.778,1.0,424.3265370784995,0.11896663772323454,7.238499707689945
55.778,1.0,424.3265370784995,0.11955810603656539,7.371300137515798
55.778,1.0,424.3265370784995,0.12014957434989625,7.509519607072663
55.778,1.0,424.3900713633961,0.09116762699668421,10.304530534144883
55.778,1.0,424.3900713633961,0.09175909531001507,9.946261981525328
55.778,1.0,424.3900713633961,0.09235056362334593,9.605901361199138
55.778,1.0,424.3900713633961,0.09294203193667677,9.282974701411774
55.778,1.0,424.3900713633961,0.09353350025000765,8.977022043965881
55.778,1.0,424.3900713633961,0.09412496856333849,8.68759696060796
55.778,1.0,424.3900713633961,0.09471643687666935,8.414266088675085
55.778,1.0,424.3900713633961,0.09530790519000021,8.156608685131138
55.778,1.0,424.3900713633961,0.09589937350333107,7.914216198165809
55.778,1.0,424.3900713633961,0.09649084181666193,7.686691855571496
55.778,1.0,424.3900713633961,0.09708231012999279,7.473650269152216
55.778,1.0,424.3900713633961,0.09767377844332364,7.274717054455914
55.778,1.0,424.3900713633961,0.0982652467566545,7.0895284651565875
55.778,1.0,424.3900713633961,0.09885671506998536,6.917731041445633
55.778,1.0,424.3900713633961,0.09944818338331622,6.758981271823344
55.778,1.0,424.3900713633961,0.10003965169664708,6.612945267711014
55.778,1.0,424.3900713633961,0.10063112000997794,6.479298450332112
55.778,1.0,424.3900713633961,0.1012225883233088,6.357725249337638
55.778,1.0,424.3900713633961,0.10181405663663964,6.247918812675831
55.778,1.0,424.3900713633961,0.1024055249499705,6.1495807272301635
55.778,1.0,424.3900713633961,0.10299699326330136,6.062420749772194
55.778,1.0,424.3900713633961,0.10358846157663222,5.986156547797146
55.778,1.0,424.3900713633961,0.10417992988996308,5.920513449830329
55.778,1.0,424.3900713633961,0.10477139820329394,5.8652242048117476
55.778,1.0,424.3900713633961,0.1053628665166248,5.820028750184488
55.778,1.0,424.3900713633961,0.10595433482995566,5.78467398832963
55.778,1.0,424.3900713633961,0.10654580314328652,5.75891357100697
55.778,1.0,424.3900713633961,0.10713727145661738,5.7425076914762965
55.778,1.0,424.3900713633961,0.10772873976994823,5.735222883988826
55.778,1.0,424.3900713633961,0.1083202080832791,5.736831830352349
55.778,1.0,424.3900713633961,0.10891167639660995,5.7471131732870475
55.778,1.0,424.3900713633961,0.10950314470994081,5.765851336301575
55.778,1.0,424.3900713633961,0.11009461302327167,5.7928363498310675
55.778,1.0,424.3900713633961,0.11068608133660252,5.82786368339013
55.778,1.0,424.3900713633961,0.11127754964993337,5.870734083504858
55.778,1.0,424.3900713633961,0.11186901796326423,5.921253417198162
55.778,1.0,424.3900713633961,0.11246048627659509,5.979232520812656
55.778,1.0,424.3900713633961,0.11305195458992595,6.0444870539646525
55.778,1.0,424.3900713633961,0.11364342290325681,6.1168373584318045
55.778,1.0,424.3900713633961,0.11423489121658767,6.196108321785359
55.778,1.0,424.3900713633961,0.11482635952991853,6.282129245586192
55.778,1.0,424.3900713633961,0.11541782784324939,6.374733717971389
55.778,1.0,424.3900713633961,0.11600929615658025,6.473759490465586
55.778,1.0,424.3900713633961,0.1166007644699111,6.579048358858236
55.778,1.0,424.3900713633961,0.11719223278324196,6.690446047994638
55.778,1.0,424.3900713633961,0.11778370109657282,6.807802100334987
55.778,1.0,424.3900713633961,0.11837516940990367,6.930969768141716
55.778,1.0,424.3900713633961,0.11896663772323454,7.0598059091612395
55.778,1.0,424.3900713633961,0.11955810603656539,7.194170885671669
55.778,1.0,424.3900713633961,0.12014957434989625,7.3339284667735
55.778,1.0,424.4536056482927,0.09116762699668421,10.015538320464314
55.778,1.0,424.4536056482927,0.09175909531001507,9.661134504446098
55.778,1.0,424.4536056482927,0.09235056362334593,9.324554077739313
55.778,1.0,424.4536056482927,0.09294203193667677,9.005325258222811
55.778,1.0,424.4536056482927,0.09353350025000765,8.702990216662972
55.778,1.0,424.4536056482927,0.09412496856333849,8.417104594835628
55.778,1.0,424.4536056482927,0.09471643687666935,8.147237042858288
55.778,1.0,424.4536056482927,0.09530790519000021,7.892968774863649
55.778,1.0,424.4536056482927,0.09589937350333107,7.653893142188834
55.778,1.0,424.4536056482927,0.09649084181666193,7.429615223296847
55.778,1.0,424.4536056482927,0.09708231012999279,7.219751429685603
55.778,1.0,424.4536056482927,0.09767377844332364,7.023929127077149
55.778,1.0,424.4536056482927,0.0982652467566545,6.841786271214644
55.778,1.0,424.4536056482927,0.09885671506998536,6.672971057627782
55.778,1.0,424.4536056482927,0.09944818338331622,6.517141584758615
55.778,1.0,424.4536056482927,0.10003965169664708,6.373965529869414
55.778,1.0,424.4536056482927,0.10063112000997794,6.243119837182108
55.778,1.0,424.4536056482927,0.1012225883233088,6.124290417725454
55.778,1.0,424.4536056482927,0.10181405663663964,6.017171860391141
55.778,1.0,424.4536056482927,0.1024055249499705,5.921467153723798
