2455260.88127 14.121 0.003 3.68 674.0
2455261.81224 14.123 0.003 3.87 630.0
2455262.84981 14.127 0.003 6.08 3213.0
2455265.86672 14.120 0.003 3.98 673.0
2455266.81307 14.124 0.003 5.31 530.0
2455267.84030 14.118 0.003 4.80 481.0
2455268.84273 14.122 0.003 4.41 473.0
2455269.80640 14.118 0.003 4.21 467.0
2455270.81208 14.121 0.003 3.77 456.0
2455271.80758 14.122 0.003 4.16 521.0
2455272.81275 14.119 0.003 5.79 469.0
2455273.79776 14.122 0.003 4.79 460.0
2455274.81625 14.120 0.003 4.80 473.0
2455275.80260 14.122 0.003 4.56 598.0
2455276.78076 14.120 0.003 4.65 480.0
2455276.90824 14.120 0.003 4.26 553.0
2455277.81730 14.123 0.003 6.67 520.0
2455278.81287 14.122 0.003 5.00 475.0
2455279.81414 14.123 0.003 5.46 473.0
2455280.82075 14.123 0.003 4.07 494.0
2455281.80067 14.124 0.003 4.12 466.0
2455282.82340 14.123 0.003 4.20 566.0
2455283.78350 14.129 0.003 5.12 696.0
2455283.87482 14.120 0.003 4.80 542.0
2455284.78910 14.118 0.003 5.00 797.0
2455285.77995 14.122 0.003 4.77 907.0
2455285.90993 14.117 0.003 4.10 746.0
2455286.79556 14.123 0.003 5.71 825.0
2455287.84873 14.122 0.003 3.45 712.0
2455288.77411 14.119 0.003 3.82 840.0
2455289.82598 14.120 0.003 4.45 1088.0
2455293.85390 14.121 0.003 4.48 496.0
2455294.78803 14.124 0.003 4.24 408.0
2455295.79001 14.123 0.003 4.14 390.0
2455296.83036 14.123 0.003 3.34 410.0
2455297.86502 14.129 0.003 3.45 393.0
2455298.90532 14.123 0.003 3.48 435.0
2455299.88920 14.118 0.003 3.70 435.0
2455301.81634 14.114 0.003 3.92 446.0
2455304.77869 14.118 0.003 5.28 553.0
2455306.77615 14.117 0.003 4.77 437.0
2455307.80148 14.124 0.003 3.90 469.0
2455308.79159 14.124 0.003 4.61 449.0
2455309.83942 14.113 0.003 4.45 441.0
2455311.92358 14.120 0.003 4.40 579.0
2455312.91301 14.121 0.003 4.43 519.0
2455314.67284 14.117 0.003 6.30 1202.0
2455314.88746 14.118 0.003 4.42 895.0
2455315.81352 14.119 0.003 3.84 914.0
2455316.77166 14.112 0.003 6.51 914.0
2455320.80723 14.117 0.003 4.36 709.0
2455321.75407 14.122 0.003 5.08 595.0
2455322.70949 14.123 0.003 6.53 628.0
2455322.92267 14.114 0.003 4.39 693.0
2455323.86696 14.119 0.003 4.36 644.0
2455324.79712 14.114 0.003 6.36 519.0
2455325.71323 14.117 0.003 4.00 447.0
2455325.91418 14.120 0.003 5.01 576.0
2455326.83916 14.120 0.003 4.22 491.0
2455327.78682 14.126 0.003 4.40 454.0
2455328.68607 14.120 0.003 3.94 526.0
2455328.90956 14.124 0.003 3.89 600.0
2455334.83901 14.118 0.003 4.81 468.0
2455335.80348 14.122 0.003 4.23 471.0
2455336.90010 14.122 0.003 4.81 605.0
2455337.90053 14.113 0.003 4.99 691.0
2455339.65932 14.118 0.003 5.71 698.0
2455339.93469 14.118 0.003 4.81 899.0
2455340.87658 14.127 0.003 4.85 752.0
2455341.80740 14.120 0.003 3.92 718.0
2455342.63533 14.122 0.003 6.48 883.0
2455342.83119 14.124 0.003 5.13 826.0
2455343.65546 14.118 0.003 4.82 1003.0
2455343.84862 14.114 0.003 4.17 961.0
2455348.79575 14.122 0.003 4.88 567.0
2455349.67608 14.120 0.003 4.72 710.0
2455350.68449 14.121 0.003 6.16 529.0
2455351.80540 14.120 0.003 4.82 603.0
2455353.77276 14.121 0.003 3.87 481.0
2455354.73979 14.121 0.003 5.05 469.0
2455355.67516 14.122 0.003 4.55 499.0
2455357.67372 14.121 0.003 5.10 484.0
